iter	MultiClass
0	3.162677038
1	2.986579739
2	2.873048584
3	2.768357922
4	2.669299845
5	2.59585793
6	2.519617841
7	2.460383851
8	2.413156305
9	2.371001707
10	2.317973977
11	2.264716054
12	2.214278437
13	2.170051676
14	2.13416137
15	2.101833456
16	2.06489879
17	2.032379063
18	2.006121372
19	1.986964557
20	1.969400883
21	1.946092231
22	1.922843365
23	1.896181917
24	1.873069538
25	1.853042284
26	1.831171079
27	1.812466666
28	1.797203343
29	1.786026143
30	1.767414708
31	1.741881944
32	1.727695444
33	1.711761139
34	1.689269407
35	1.677742225
36	1.665677081
37	1.648156144
38	1.627966614
39	1.61729667
40	1.598592406
41	1.589329147
42	1.570563937
43	1.562583535
44	1.546045838
45	1.530627487
46	1.514356809
47	1.505677242
48	1.498819896
49	1.482067176
50	1.473474819
51	1.46206726
52	1.455058292
53	1.449684321
54	1.440482826
55	1.433160073
56	1.425885674
57	1.414797979
58	1.405108569
59	1.400230696
60	1.390965756
61	1.386904211
62	1.376956679
63	1.372213519
64	1.36159601
65	1.348805901
66	1.345369548
67	1.338848703
68	1.326325449
69	1.321135066
70	1.314857938
71	1.305924624
72	1.30005756
73	1.291614658
74	1.285252706
75	1.279579564
76	1.273100809
77	1.268828584
78	1.259375324
79	1.254011015
80	1.247137041
81	1.241855992
82	1.237468503
83	1.230746582
84	1.228361432
85	1.220318268
86	1.217511215
87	1.213193463
88	1.208555748
89	1.205740975
90	1.196458807
91	1.194690969
92	1.191978067
93	1.187851352
94	1.17858114
95	1.175738675
96	1.166871374
97	1.162610471
98	1.160414769
99	1.157171342
