iter	Passed	Remaining
0	76	7533
1	140	6887
2	193	6263
3	248	5975
4	312	5939
5	372	5829
6	431	5726
7	492	5668
8	564	5710
9	624	5619
10	688	5572
11	749	5495
12	806	5394
13	871	5354
14	926	5252
15	985	5175
16	1041	5086
17	1098	5004
18	1155	4927
19	1209	4839
20	1270	4780
21	1329	4714
22	1387	4643
23	1443	4571
24	1499	4499
25	1556	4428
26	1628	4402
27	1688	4341
28	1743	4268
29	1799	4197
30	1853	4126
31	1910	4060
32	1967	3994
33	2026	3934
34	2086	3874
35	2145	3814
36	2203	3751
37	2269	3702
38	2330	3645
39	2389	3584
40	2448	3523
41	2508	3464
42	2572	3409
43	2659	3385
44	2728	3334
45	2786	3270
46	2843	3206
47	2904	3146
48	2966	3087
49	3026	3026
50	3090	2968
51	3165	2922
52	3241	2874
53	3306	2816
54	3366	2754
55	3424	2690
56	3484	2628
57	3538	2562
58	3597	2500
59	3655	2436
60	3716	2376
61	3777	2315
62	3834	2252
63	3892	2189
64	3947	2125
65	4008	2065
66	4065	2002
67	4123	1940
68	4181	1878
69	4240	1817
70	4306	1759
71	4363	1696
72	4423	1635
73	4478	1573
74	4540	1513
75	4599	1452
76	4666	1393
77	4735	1335
78	4825	1282
79	4914	1228
80	5005	1174
81	5091	1117
82	5167	1058
83	5242	998
84	5322	939
85	5394	878
86	5464	816
87	5539	755
88	5601	692
89	5678	630
90	5752	568
91	5820	506
92	5901	444
93	5973	381
94	6049	318
95	6132	255
96	6204	191
97	6289	128
98	6368	64
99	6489	0
